Daniel,Cruz,19,8,1891,3,4,1951,0,1,0,2,0,0,0,0,0,0,0
Laura,Costa,7,11,1893,8,3,1957,1,0,0,2,0,0,0,0,0,0,0
Lucas,Alves,7,2,1921,16,7,2001,0,0,0,1,2,2,0,0,0,0,0
Madalena,Cruz,27,9,1925,13,7,2000,0,0,1,0,2,2,0,0,0,0,0
Carlos,Alves,19,3,1973,0,0,0,0,0,0,0,0,0,1,0,2,2,0
Emilia,Alves,21,5,1978,0,0,0,0,0,0,0,0,0,0,1,0,0,2
Olga,Fernandes,15,11,1975,0,0,0,0,0,0,0,1,0,0,0,2,2,0
Bruno,Lopes,23,8,1976,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Joel,Alves,29,5,1999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sofia,Alves,10,10,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diana,Lopes,4,1,2003,0,0,0,0,0,0,0,0,0,0,0,0,0,0
